127.0.0.1 - - [07/Mar/2017:10:52:07 -0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:55:40 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:56:06 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:56:12 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2FAssignment2Solution.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:56:43 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:56:49 -0800] "GET /Assignment_2/FileChooserServlet?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:01 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:05 -0800] "GET /Assignment_2/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:20 -0800] "GET /Assignment_2/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:41 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:45 -0800] "GET /Assignment_2/jsp/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:48 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:51 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:54 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:55 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:58 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:58 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:58:59 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:00 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:37 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:39 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:39 -0800] "GET /Assignment_2/css/main.css HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:40 -0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:42 -0800] "GET /Assignment_2/jsp/login.jsp?infile=d&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:10:59:48 -0800] "GET /Assignment_2/LoginServlet?username=dkempe&password=dkempe HTTP/1.1" 500 1409
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:00:39 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:00:58 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:01:01 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:02:24 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:02:26 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:33 -0800] "GET /Assignment_2/jsp/login.jsp?infile=&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:36 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:38 -0800] "GET /Assignment_2/FileChooserServlet?infile= HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:41 -0800] "GET /Assignment_2/FileChooserServlet?infile= HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:42 -0800] "GET /Assignment_2/FileChooserServlet?infile=ds HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:48 -0800] "GET /Assignment_2/FileChooserServlet?infile=/Users/Nick/Desktop/cs201/kaimakis_assignment3.zip_expanded/Assignment2/valid.xml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:48 -0800] "GET /Assignment_2/jsp/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:03:51 -0800] "GET /Assignment_2/LoginServlet?username=d&password= HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:06:54 -0800] "GET /Assignment_2/LoginServlet?username=d&password= HTTP/1.1" 500 1409
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:06:57 -0800] "GET /Assignment_2/jsp/file_chooser.jsp HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:03 -0800] "GET /Assignment_2/FileChooserServlet?infile=/Users/Nick/Desktop/cs201/kaimakis_assignment3.zip_expanded/Assignment2/valid.xml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:03 -0800] "GET /Assignment_2/jsp/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:06 -0800] "GET /Assignment_2/LoginServlet?username=&password= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:14 -0800] "GET /Assignment_2/LoginServlet?username=&password= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:26 -0800] "GET /Assignment_2/LoginServlet?username=dkempe&password= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:28 -0800] "GET /Assignment_2/jsp/login.jsp?infile=%2FUsers%2FNick%2FDesktop%2Fcs201%2Fkaimakis_assignment3.zip_expanded%2FAssignment2%2Fvalid.xml&submit=Submit HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:33 -0800] "GET /Assignment_2/LoginServlet?username=dk&password= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:37 -0800] "GET /Assignment_2/LoginServlet?username=dkempe&password= HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/LoginServlet?username=dkempe&password=dkempe HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/jsp/feed.jsp?username=dkempe&password=dkempe HTTP/1.1" 200 5419
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/bootstrap-3.3.7-dist/* HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/css/feed.css HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/css/profile.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/img/actions/liked.png HTTP/1.1" 200 148735
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/img/actions/disliked.png HTTP/1.1" 200 158531
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/img/actions/watched.png HTTP/1.1" 200 19378
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:07:41 -0800] "GET /Assignment_2/img/actions/rating4.png HTTP/1.1" 200 1351
